"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","color_pair","marble_orientation","wheel_option","sentence","instruction","mentioned_color","mentioned_color_word","minor_color","major_color","target_loc","competitor_loc"
1,4,"exp","vase","none","vase_5_b","vase_2-3_y-b","basket_5_y","basket_2-3_b-y","basket_5_y","vase_5_b","basket_2-3_b-y","vase_2-3_y-b","4_vase","List1",12,"V1","b-y","y->b","flipped","In the |vase, none of the flowers are yellow.","In the |vase, |none of the flowers are |yellow.","y","yellow","y","b","RT","RB"
1,8,"exp","basket","notall","basket_2-3_b-p","basket_5_p","vase_2-3_p-b","vase_5_b","basket_5_p","vase_5_b","basket_2-3_b-p","vase_2-3_p-b","8_basket","List1",13,"V1","b-p","p->b","flipped","In the |basket, not all of the flowers are pink.","In the |basket, |not all of the flowers are |pink.","p","pink","b","p","LB","LT"
1,8,"exp","vase","all","vase_5_b","vase_2-3_p-b","basket_5_p","basket_2-3_b-p","basket_2-3_b-p","vase_2-3_p-b","basket_5_p","vase_5_b","8_vase","List1",14,"V1","b-p","p->b","flipped","In the |vase, all of the flowers are blue.","In the |vase, |all of the flowers are |blue.","b","blue","p","b","RB","RT"
1,12,"exp","basket","none","basket_5_p","basket_2-3_y-p","vase_5_y","vase_2-3_p-y","vase_2-3_p-y","basket_2-3_y-p","vase_5_y","basket_5_p","12_basket","List1",15,"V1","p-y","p->y","flipped","In the |basket, none of the flowers are yellow.","In the |basket, |none of the flowers are |yellow.","y","yellow","y","p","RB","RT"
1,12,"exp","vase","some","vase_2-3_p-y","vase_5_p","basket_2-3_y-p","basket_5_p","basket_5_p","vase_5_p","basket_2-3_y-p","vase_2-3_p-y","12_vase","List1",16,"V1","p-y","p->y","flipped","In the |vase, some of the flowers are yellow.","In the |vase, |some of the flowers are |yellow.","y","yellow","p","y","RB","RT"
1,1,"filler","basket","0","basket_5_y","basket_2-3_b-y","vase_5_y","vase_2-3_b-y","vase_5_y","basket_5_y","vase_2-3_b-y","basket_2-3_b-y","1_basket","List1",17,"V1","b-y","b->y","same","In the |basket, zero of the flowers are blue.","In the |basket, |zero of the flowers are |blue.","b","blue","b","y","RT","RB"
1,1,"filler","vase","0","vase_5_y","vase_2-3_b-y","basket_5_y","basket_2-3_b-y","vase_2-3_b-y","basket_2-3_b-y","vase_5_y","basket_5_y","1_vase","List1",18,"V1","b-y","b->y","same","In the |vase, zero of the flowers are blue.","In the |vase, |zero of the flowers are |blue.","b","blue","b","y","LB","LT"
1,5,"filler","basket","2","basket_2-3_b-p","basket_5_p","vase_2-3_b-p","vase_5_p","basket_2-3_b-p","vase_2-3_b-p","basket_5_p","vase_5_p","5_basket","List1",19,"V1","b-p","b->p","same","In the |basket, two of the flowers are blue.","In the |basket, |two of the flowers are |blue.","b","blue","b","p","LT","LB"
1,5,"filler","vase","2","vase_2-3_b-p","vase_5_p","basket_2-3_b-p","basket_5_p","basket_5_p","vase_5_p","basket_2-3_b-p","vase_2-3_b-p","5_vase","List1",20,"V1","b-p","b->p","same","In the |vase, two of the flowers are blue.","In the |vase, |two of the flowers are |blue.","b","blue","b","p","RB","RT"
1,9,"filler","basket","3","basket_2-3_y-p","basket_5_y","vase_2-3_y-p","vase_5_p","basket_2-3_y-p","vase_2-3_y-p","basket_5_y","vase_5_p","9_basket","List1",21,"V1","p-y","y->p","same","In the |basket, three of the flowers are pink.","In the |basket, |three of the flowers are |pink.","p","pink","y","p","LT","LB"
1,9,"filler","vase","3","vase_2-3_y-p","vase_5_y","basket_2-3_y-p","basket_5_p","vase_5_y","basket_5_p","vase_2-3_y-p","basket_2-3_y-p","9_vase","List1",22,"V1","p-y","y->p","same","In the |vase, three of the flowers are pink.","In the |vase, |three of the flowers are |pink.","p","pink","y","p","LB","LT"
1,10,"filler","basket","5","basket_5_y","basket_2-3_p-y","vase_5_p","vase_2-3_y-p","vase_2-3_y-p","basket_2-3_p-y","vase_5_p","basket_5_y","10_basket","List1",23,"V1","p-y","y->p","flipped","In the |basket, five of the flowers are yellow.","In the |basket, |five of the flowers are |yellow.","y","yellow","p","y","RB","RT"
1,10,"filler","vase","5","vase_5_p","vase_2-3_y-p","basket_5_y","basket_2-3_p-y","basket_5_y","vase_5_p","basket_2-3_p-y","vase_2-3_y-p","10_vase","List1",24,"V1","p-y","y->p","flipped","In the |vase, five of the flowers are pink.","In the |vase, |five of the flowers are |pink.","p","pink","y","p","RT","RB"
1,13,"typeB","basket","2","basket_2-3_y-b","basket_2-3_b-y","vase_2-3_y-b","vase_2-3_b-y","vase_2-3_y-b","basket_2-3_y-b","vase_2-3_b-y","basket_2-3_b-y","13_basket","List1",25,"V1","b-y","y->b","same","In the |basket, two of the flowers are yellow.","In the |basket, |two of the flowers are |yellow.","y","yellow","y","b","RT","RB"
1,14,"typeB","vase","2","vase_2-3_y-b","vase_2-3_b-y","basket_2-3_y-b","basket_2-3_b-y","vase_2-3_y-b","basket_2-3_y-b","vase_2-3_b-y","basket_2-3_b-y","14_vase","List1",26,"V1","b-y","y->b","same","In the |vase, two of the flowers are yellow.","In the |vase, |two of the flowers are |yellow.","y","yellow","y","b","LT","LB"
1,15,"typeB","basket","3","basket_2-3_y-b","basket_2-3_b-y","vase_2-3_y-b","vase_2-3_b-y","basket_2-3_y-b","vase_2-3_y-b","basket_2-3_b-y","vase_2-3_b-y","15_basket","List1",27,"V1","b-y","y->b","same","In the |basket, three of the flowers are blue.","In the |basket, |three of the flowers are |blue.","b","blue","y","b","LT","LB"
1,16,"typeB","vase","3","vase_2-3_b-p","vase_2-3_p-b","basket_2-3_b-p","basket_2-3_p-b","vase_2-3_p-b","basket_2-3_p-b","vase_2-3_b-p","basket_2-3_b-p","16_vase","List1",28,"V1","b-p","b->p","same","In the |vase, three of the flowers are pink.","In the |vase, |three of the flowers are |pink.","p","pink","b","p","LB","LT"
1,17,"typeB","basket","5","basket_5_b","basket_5_p","vase_5_b","vase_5_p","vase_5_b","basket_5_b","vase_5_p","basket_5_p","17_basket","List1",29,"V1","b-p","p->b","same","In the |basket, five of the flowers are blue.","In the |basket, |five of the flowers are |blue.","b","blue","p","b","RT","RB"
1,18,"typeB","vase","5","vase_5_p","vase_5_y","basket_5_p","basket_5_y","basket_5_y","vase_5_y","basket_5_p","vase_5_p","18_vase","List1",30,"V1","p-y","y->p","same","In the |vase, five of the flowers are pink.","In the |vase, |five of the flowers are |pink.","p","pink","y","p","RB","RT"
1,19,"typeB","basket","0","basket_5_b","basket_5_p","vase_5_b","vase_5_p","vase_5_p","basket_5_p","vase_5_b","basket_5_b","19_basket","List1",31,"V1","b-p","p->b","same","In the |basket, zero of the flowers are pink.","In the |basket, |zero of the flowers are |pink.","p","pink","p","b","RB","RT"
1,20,"typeB","vase","0","vase_5_p","vase_5_y","basket_5_p","basket_5_y","vase_5_y","basket_5_y","vase_5_p","basket_5_p","20_vase","List1",32,"V1","p-y","y->p","same","In the |vase, zero of the flowers are yellow.","In the |vase, |zero of the flowers are |yellow.","y","yellow","y","p","LB","LT"
