"list_id","list_name","condition","display_id","target_object","adj","degree","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","mentioned_color","mentioned_color_word","sentence","instruction","target_loc","competitor_loc","item_id","trial_in_list"
4,"List4","exp",6,"flask","cool",10,"flask-cool-green.png","flask-cold-orange.png","beaker-cool-orange.png","beaker-cold-green.png","beaker-cool-orange.png","flask-cool-green.png","beaker-cold-green.png","flask-cold-orange.png","g","green","The water | in the flask | is cool | and green.","The water | in the flask | is cool | and green.","RT","RB","6_flask",12
4,"List4","exp",7,"beaker","frozen",0,"beaker-cold-orange.png","beaker-cool-green.png","flask-cold-orange.png","flask-cool-green.png","beaker-cold-orange.png","flask-cold-orange.png","beaker-cool-green.png","flask-cool-green.png","o","orange","The water | in the beaker | is frozen | and orange.","The water | in the beaker | is frozen | and orange.","LT","LB","7_beaker",13
4,"List4","exp",7,"flask","frozen",0,"flask-cold-orange.png","flask-cool-green.png","beaker-cold-orange.png","beaker-cool-green.png","beaker-cool-green.png","flask-cool-green.png","beaker-cold-orange.png","flask-cold-orange.png","o","orange","The water | in the flask | is frozen | and orange.","The water | in the flask | is frozen | and orange.","RB","RT","7_flask",14
4,"List4","exp",8,"beaker","frozen",0,"beaker-cold-green.png","beaker-cool-purple.png","flask-cold-purple.png","flask-cool-green.png","beaker-cool-purple.png","flask-cool-green.png","beaker-cold-green.png","flask-cold-purple.png","g","green","The water | in the beaker | is frozen | and green.","The water | in the beaker | is frozen | and green.","LB","LT","8_beaker",15
4,"List4","exp",8,"flask","frozen",0,"flask-cold-purple.png","flask-cool-green.png","beaker-cold-green.png","beaker-cool-purple.png","beaker-cold-green.png","flask-cold-purple.png","beaker-cool-purple.png","flask-cool-green.png","p","purple","The water | in the flask | is frozen | and purple.","The water | in the flask | is frozen | and purple.","RT","RB","8_flask",16
4,"List4","number",9,"beaker","0",0,"beaker-cold-green.png","beaker-cool-purple.png","flask-cold-purple.png","flask-cool-green.png","flask-cool-green.png","beaker-cool-purple.png","flask-cold-purple.png","beaker-cold-green.png","g","green","The water | in the beaker | is below 0 °C | and green.","The water | in the beaker | is below 0 °C | and green.","RB","RT","9_beaker",17
4,"List4","number",9,"flask","0",0,"flask-cold-purple.png","flask-cool-green.png","beaker-cold-green.png","beaker-cool-purple.png","flask-cool-green.png","beaker-cool-purple.png","flask-cold-purple.png","beaker-cold-green.png","p","purple","The water | in the flask | is below 0 °C | and purple.","The water | in the flask | is below 0 °C | and purple.","LB","LT","9_flask",18
4,"List4","number",10,"beaker","10",10,"beaker-cool-orange.png","beaker-cold-green.png","flask-cool-green.png","flask-cold-orange.png","flask-cool-green.png","beaker-cool-orange.png","flask-cold-orange.png","beaker-cold-green.png","o","orange","The water | in the beaker | is about 10 °C | and orange.","The water | in the beaker | is about 10 °C | and orange.","RT","RB","10_beaker",19
4,"List4","number",10,"flask","10",10,"flask-cool-green.png","flask-cold-orange.png","beaker-cool-orange.png","beaker-cold-green.png","flask-cold-orange.png","beaker-cold-green.png","flask-cool-green.png","beaker-cool-orange.png","g","green","The water | in the flask | is about 10 °C | and green.","The water | in the flask | is about 10 °C | and green.","LB","LT","10_flask",20
4,"List4","number",11,"beaker","60",60,"beaker-warm-orange.png","beaker-hot-purple.png","flask-warm-purple.png","flask-hot-orange.png","flask-warm-purple.png","beaker-warm-orange.png","flask-hot-orange.png","beaker-hot-purple.png","o","orange","The water | in the beaker | is about 60 °C | and orange.","The water | in the beaker | is about 60 °C | and orange.","RT","RB","11_beaker",21
4,"List4","number",11,"flask","60",60,"flask-warm-purple.png","flask-hot-orange.png","beaker-warm-orange.png","beaker-hot-purple.png","flask-hot-orange.png","beaker-hot-purple.png","flask-warm-purple.png","beaker-warm-orange.png","p","purple","The water | in the flask | is about 60 °C | and purple.","The water | in the flask | is about 60 °C | and purple.","LB","LT","11_flask",22
4,"List4","number",12,"beaker","100",100,"beaker-hot-green.png","beaker-warm-purple.png","flask-hot-purple.png","flask-warm-green.png","beaker-hot-green.png","flask-hot-purple.png","beaker-warm-purple.png","flask-warm-green.png","g","green","The water | in the beaker | is above 100 °C | and green.","The water | in the beaker | is above 100 °C | and green.","LT","LB","12_beaker",23
4,"List4","number",12,"flask","100",100,"flask-hot-purple.png","flask-warm-green.png","beaker-hot-green.png","beaker-warm-purple.png","flask-warm-green.png","beaker-warm-purple.png","flask-hot-purple.png","beaker-hot-green.png","p","purple","The water | in the flask | is above 100 °C | and purple.","The water | in the flask | is above 100 °C | and purple.","LB","LT","12_flask",24
4,"List4","typeB",13,"beaker","0",0,"beaker-cold-green.png","beaker-cold-orange.png","flask-cool-green.png","flask-cool-orange.png","beaker-cold-green.png","flask-cool-green.png","beaker-cold-orange.png","flask-cool-orange.png","g","green","The water | in the beaker | is below 0 °C | and green.","The water | in the beaker | is below 0 °C | and green.","LT","LB","13_beaker",25
4,"List4","typeB",14,"flask","0",0,"flask-cold-purple.png","flask-cold-orange.png","beaker-cool-purple.png","beaker-cool-orange.png","beaker-cool-purple.png","flask-cold-purple.png","beaker-cool-orange.png","flask-cold-orange.png","p","purple","The water | in the flask | is below 0 °C | and purple.","The water | in the flask | is below 0 °C | and purple.","RT","RB","14_flask",26
4,"List4","typeB",15,"beaker","10",10,"beaker-cool-green.png","beaker-cool-purple.png","flask-cold-green.png","flask-cold-purple.png","flask-cold-purple.png","beaker-cool-purple.png","flask-cold-green.png","beaker-cool-green.png","g","green","The water | in the beaker | is about 10 °C | and green.","The water | in the beaker | is about 10 °C | and green.","RB","RT","15_beaker",27
4,"List4","typeB",16,"flask","10",10,"flask-cool-orange.png","flask-cool-green.png","beaker-cold-orange.png","beaker-cold-green.png","flask-cool-orange.png","beaker-cold-orange.png","flask-cool-green.png","beaker-cold-green.png","o","orange","The water | in the flask | is about 10 °C | and orange.","The water | in the flask | is about 10 °C | and orange.","LT","LB","16_flask",28
4,"List4","typeB",17,"beaker","60",60,"beaker-warm-purple.png","beaker-warm-orange.png","flask-hot-purple.png","flask-hot-orange.png","flask-hot-orange.png","beaker-warm-orange.png","flask-hot-purple.png","beaker-warm-purple.png","p","purple","The water | in the beaker | is about 60 °C | and purple.","The water | in the beaker | is about 60 °C | and purple.","RB","RT","17_beaker",29
4,"List4","typeB",18,"flask","60",60,"flask-warm-green.png","flask-warm-purple.png","beaker-hot-green.png","beaker-hot-purple.png","flask-warm-green.png","beaker-hot-green.png","flask-warm-purple.png","beaker-hot-purple.png","g","green","The water | in the flask | is about 60 °C | and green.","The water | in the flask | is about 60 °C | and green.","LT","LB","18_flask",30
4,"List4","typeB",19,"beaker","100",100,"beaker-hot-orange.png","beaker-hot-green.png","flask-warm-orange.png","flask-warm-green.png","flask-warm-green.png","beaker-hot-green.png","flask-warm-orange.png","beaker-hot-orange.png","o","orange","The water | in the beaker | is above 100 °C | and orange.","The water | in the beaker | is above 100 °C | and orange.","RB","RT","19_beaker",31
4,"List4","typeB",20,"flask","100",100,"flask-hot-purple.png","flask-hot-orange.png","beaker-warm-purple.png","beaker-warm-orange.png","beaker-warm-purple.png","flask-hot-purple.png","beaker-warm-orange.png","flask-hot-orange.png","p","purple","The water | in the flask | is above 100 °C | and purple.","The water | in the flask | is above 100 °C | and purple.","RT","RB","20_flask",32
