"Participant","DisplayID","Polarity","Type","Window","Bin","Target","Total","elog","Time"
1643821127,2,"Pos","Sem","Critical",3200,1,1,1.09861228866811,0.1
1643821127,2,"Pos","Sem","Critical",3300,1,1,1.09861228866811,0.2
1643821127,2,"Pos","Sem","Critical",3400,0,1,-1.09861228866811,0.3
1643821127,2,"Pos","Sem","Critical",3600,1,1,1.09861228866811,0.5
1643821127,2,"Pos","Sem","Critical",3700,1,1,1.09861228866811,0.6
1643821127,2,"Pos","Sem","Critical",3800,2,2,1.6094379124341,0.7
1643821127,2,"Pos","Sem","Critical",3900,1,1,1.09861228866811,0.8
1643821127,2,"Pos","Sem","Critical",4000,1,1,1.09861228866811,0.9
1643821127,2,"Pos","Sem","Critical",4100,1,1,1.09861228866811,1
1643821127,5,"Neg","Prag","Critical",3100,0,2,-1.6094379124341,0
1643821127,5,"Neg","Prag","Critical",3200,0,1,-1.09861228866811,0.1
1643821127,5,"Neg","Prag","Critical",3300,0,2,-1.6094379124341,0.2
1643821127,5,"Neg","Prag","Critical",3400,1,2,0,0.3
1643821127,5,"Neg","Prag","Critical",3500,1,1,1.09861228866811,0.4
1643821127,5,"Neg","Prag","Critical",3600,2,2,1.6094379124341,0.5
1643821127,5,"Neg","Prag","Critical",3700,0,1,-1.09861228866811,0.6
1643821127,5,"Neg","Prag","Critical",3800,2,2,1.6094379124341,0.7
1643821127,5,"Neg","Prag","Critical",3900,0,1,-1.09861228866811,0.8
1643821127,5,"Neg","Prag","Critical",4000,0,2,-1.6094379124341,0.9
1643821127,5,"Neg","Prag","Critical",4100,0,2,-1.6094379124341,1
1643821127,6,"Neg","Sem","Critical",3100,0,1,-1.09861228866811,0
1643821127,6,"Neg","Sem","Critical",3200,0,2,-1.6094379124341,0.1
1643821127,6,"Neg","Sem","Critical",3300,0,1,-1.09861228866811,0.2
1643821127,6,"Neg","Sem","Critical",3400,0,2,-1.6094379124341,0.3
1643821127,6,"Neg","Sem","Critical",3500,0,2,-1.6094379124341,0.4
